"Back to Contents","Data 1: Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)"
"Sourcekey","WCRFPUS2"
"Date","Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)"
"32143.0","8348.0"
"32150.0","8395.0"
"32157.0","8395.0"
"32164.0","8395.0"
"32171.0","8395.0"
"32178.0","8353.0"
"32185.0","8353.0"
"32192.0","8353.0"
"32199.0","8353.0"
"32206.0","8306.0"
"32213.0","8306.0"
"32220.0","8306.0"
"32227.0","8306.0"
"32234.0","8306.0"
"32241.0","8269.0"
"32248.0","8269.0"
"32255.0","8269.0"
"32262.0","8269.0"
"32269.0","8240.0"
"32276.0","8240.0"
"32283.0","8240.0"
"32290.0","8240.0"
"32297.0","8210.0"
"32304.0","8210.0"
"32311.0","8210.0"
"32318.0","8210.0"
"32325.0","8210.0"
"32332.0","8189.0"
"32339.0","8189.0"
"32346.0","8189.0"
"32353.0","8189.0"
"32360.0","8128.0"
"32367.0","8128.0"
"32374.0","8128.0"
"32381.0","8128.0"
"32388.0","8147.0"
"32395.0","8147.0"
"32402.0","8147.0"
"32409.0","8147.0"
"32416.0","8147.0"
"32423.0","8085.0"
"32430.0","8085.0"
"32437.0","8085.0"
"32444.0","8085.0"
"32451.0","8026.0"
"32458.0","8026.0"
"32465.0","8026.0"
"32472.0","8026.0"
"32479.0","8035.0"
"32486.0","8035.0"
"32493.0","8035.0"
"32500.0","8035.0"
"32507.0","8035.0"
"32514.0","8021.0"
"32521.0","8021.0"
"32528.0","8021.0"
"32535.0","8021.0"
"32542.0","7965.0"
"32549.0","7965.0"
"32556.0","7965.0"
"32563.0","7965.0"
"32570.0","7921.0"
"32577.0","7921.0"
"32584.0","7921.0"
"32591.0","7921.0"
"32598.0","7921.0"
"32605.0","7880.0"
"32612.0","7880.0"
"32619.0","7880.0"
"32626.0","7880.0"
"32633.0","7843.0"
"32640.0","7843.0"
"32647.0","7843.0"
"32654.0","7843.0"
"32661.0","7726.0"
"32668.0","7726.0"
"32675.0","7726.0"
"32682.0","7726.0"
"32689.0","7726.0"
"32696.0","7622.0"
"32703.0","7622.0"
"32710.0","7622.0"
"32717.0","7622.0"
"32724.0","7662.0"
"32731.0","7662.0"
"32738.0","7662.0"
"32745.0","7662.0"
"32752.0","7662.0"
"32759.0","7641.0"
"32766.0","7641.0"
"32773.0","7641.0"
"32780.0","7641.0"
"32787.0","7644.0"
"32794.0","7644.0"
"32801.0","7644.0"
"32808.0","7644.0"
"32815.0","7601.0"
"32822.0","7601.0"
"32829.0","7601.0"
"32836.0","7601.0"
"32843.0","7601.0"
"32850.0","7565.0"
"32857.0","7565.0"
"32864.0","7565.0"
"32871.0","7565.0"
"32878.0","7512.0"
"32885.0","7512.0"
"32892.0","7512.0"
"32899.0","7512.0"
"32906.0","7399.0"
"32913.0","7399.0"
"32920.0","7399.0"
"32927.0","7399.0"
"32934.0","7411.0"
"32941.0","7411.0"
"32948.0","7411.0"
"32955.0","7411.0"
"32962.0","7411.0"
"32969.0","7310.0"
"32976.0","7310.0"
"32983.0","7310.0"
"32990.0","7310.0"
"32997.0","7241.0"
"33004.0","7241.0"
"33011.0","7241.0"
"33018.0","7241.0"
"33025.0","7241.0"
"33032.0","6981.0"
"33039.0","6981.0"
"33046.0","6981.0"
"33053.0","6981.0"
"33060.0","7130.0"
"33067.0","7130.0"
"33074.0","7130.0"
"33081.0","7130.0"
"33088.0","6971.0"
"33095.0","6971.0"
"33102.0","6971.0"
"33109.0","6971.0"
"33116.0","6971.0"
"33123.0","6991.0"
"33130.0","6991.0"
"33137.0","7041.0"
"33144.0","7041.0"
"33151.0","7261.0"
"33158.0","7261.0"
"33165.0","7261.0"
"33172.0","7329.0"
"33179.0","7342.0"
"33186.0","7284.0"
"33193.0","6910.0"
"33200.0","7440.0"
"33207.0","7235.0"
"33214.0","6996.0"
"33221.0","7474.0"
"33228.0","7245.0"
"33235.0","7559.0"
"33242.0","7481.0"
"33249.0","7475.0"
"33256.0","7461.0"
"33263.0","7219.0"
"33270.0","7477.0"
"33277.0","7463.0"
"33284.0","7427.0"
"33291.0","7415.0"
"33298.0","7404.0"
"33305.0","7394.0"
"33312.0","7412.0"
"33319.0","7385.0"
"33326.0","7383.0"
"33333.0","7356.0"
"33340.0","7334.0"
"33347.0","7370.0"
"33354.0","7346.0"
"33361.0","7295.0"
"33368.0","7303.0"
"33375.0","7280.0"
"33382.0","7336.0"
"33389.0","7323.0"
"33396.0","7301.0"
"33403.0","7359.0"
"33410.0","7338.0"
"33417.0","7377.0"
"33424.0","7383.0"
"33431.0","7365.0"
"33438.0","7348.0"
"33445.0","7355.0"
"33452.0","7342.0"
"33459.0","7228.0"
"33466.0","7302.0"
"33473.0","7215.0"
"33480.0","7274.0"
"33487.0","7150.0"
"33494.0","7267.0"
"33501.0","7327.0"
"33508.0","7365.0"
"33515.0","7381.0"
"33522.0","7387.0"
"33529.0","7381.0"
"33536.0","7384.0"
"33543.0","7359.0"
"33550.0","7140.0"
"33557.0","7426.0"
"33564.0","7388.0"
"33571.0","7226.0"
"33578.0","7376.0"
"33585.0","6731.0"
"33592.0","7451.0"
"33599.0","7449.0"
"33606.0","7422.0"
"33613.0","7410.0"
"33620.0","7235.0"
"33627.0","7343.0"
"33634.0","7357.0"
"33641.0","7382.0"
"33648.0","7364.0"
"33655.0","7329.0"
"33662.0","7365.0"
"33669.0","7357.0"
"33676.0","7345.0"
"33683.0","7324.0"
"33690.0","7283.0"
"33697.0","7327.0"
"33704.0","7277.0"
"33711.0","7353.0"
"33718.0","7238.0"
"33725.0","7235.0"
"33732.0","7248.0"
"33739.0","7160.0"
"33746.0","7205.0"
"33753.0","7219.0"
"33760.0","7240.0"
"33767.0","7228.0"
"33774.0","7218.0"
"33781.0","7194.0"
"33788.0","7221.0"
"33795.0","7125.0"
"33802.0","7144.0"
"33809.0","7095.0"
"33816.0","7059.0"
"33823.0","7124.0"
"33830.0","6990.0"
"33837.0","7120.0"
"33844.0","6678.0"
"33851.0","6847.0"
"33858.0","6955.0"
"33865.0","7012.0"
"33872.0","7049.0"
"33879.0","7046.0"
"33886.0","7011.0"
"33893.0","7032.0"
"33900.0","7036.0"
"33907.0","7041.0"
"33914.0","7011.0"
"33921.0","6954.0"
"33928.0","6987.0"
"33935.0","7064.0"
"33942.0","7074.0"
"33949.0","7087.0"
"33956.0","7098.0"
"33963.0","7053.0"
